run_root	method	Nshots	rmse	rmse_std	t_end_epoch	t_end_iso

LiH_molecule_JW_sto3g_JW_	ShadowGrouping	100	0.11779147492666092	0.008769746482516739	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	300	0.061764504246543755	0.004900742377921023	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	500	0.04206607922517197	0.002944679905391596	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	700	0.03585695623705746	0.0028225628388570687	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	900	0.031087564059875113	0.0022935422290280044	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	1000	0.03245519689546754	0.0020931487080508297	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	2000	0.02343395134448822	0.0015294568606354449	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	3000	0.018101357108702126	0.0012177321780218156	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	5000	0.014766090660594188	0.0010371535731594167	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	7000	0.013135429052870101	0.0009243457013874708	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	9000	0.01142052458386924	0.0008963870868293006	1761040343.0366426	2025-10-21T11:52:23
LiH_molecule_JW_sto3g_JW_	ShadowGrouping	10000	0.011236022524293418	0.0007959464216267863	1761123475.3732872	2025-10-22T10:57:55


LiH_molecule_JW_sto3g_JW_	Posteriori	100	0.11308824321068527	0.007318290051971917	1760974993.0038168	2025-10-20T17:43:13
LiH_molecule_JW_sto3g_JW_	Posteriori	300	0.0579957849082247	0.003986263954551181	1760974993.0038168	2025-10-20T17:43:13
LiH_molecule_JW_sto3g_JW_	Posteriori	500	0.0468636593607503	0.0033891283813814246	1760974993.0038168	2025-10-20T17:43:13
LiH_molecule_JW_sto3g_JW_	Posteriori	700	0.039556475303819554	0.0027674488382871216	1760974993.0038168	2025-10-20T17:43:13
LiH_molecule_JW_sto3g_JW_	Posteriori	900	0.03420825024493639	0.0023503850554892703	1760974993.0038168	2025-10-20T17:43:13
LiH_molecule_JW_sto3g_JW_	Posteriori	1000	0.033459543128896464	0.002530672649927391	1761032871.4467857	2025-10-21T09:47:51
LiH_molecule_JW_sto3g_JW_	Posteriori	2000	0.022231386351458524	0.0012914666013455905	1761032871.4467857	2025-10-21T09:47:51
LiH_molecule_JW_sto3g_JW_	Posteriori	3000	0.019700838259710796	0.0014228772741632632	1761032871.4467857	2025-10-21T09:47:51
LiH_molecule_JW_sto3g_JW_	Posteriori	5000	0.014770952088174165	0.0009850188340070833	1761032871.4467857	2025-10-21T09:47:51
LiH_molecule_JW_sto3g_JW_	Posteriori	7000	0.012393502135229302	0.0008346252013683263	1761032871.4467857	2025-10-21T09:47:51
LiH_molecule_JW_sto3g_JW_	Posteriori	9000	0.00999402090387046	0.0006641832748205107	1761032871.4467857	2025-10-21T09:47:51
LiH_molecule_JW_sto3g_JW_	Posteriori	10000	0.00996567360027811	0.0006359851146047697	1761038950.0421576	2025-10-21T11:29:10


LiH_molecule_JW_sto3g_JW_	Priori	100	0.1327350608104349	0.009986463111183699	1760966601.56301	2025-10-20T15:23:21
LiH_molecule_JW_sto3g_JW_	Priori	300	0.0637788913899134	0.004477569708166347	1760966834.1513076	2025-10-20T15:27:14
LiH_molecule_JW_sto3g_JW_	Priori	500	0.05060140641985345	0.003391712977799739	1760967378.6818159	2025-10-20T15:36:18
LiH_molecule_JW_sto3g_JW_	Priori	700	0.038175650333593075	0.002399649424744139	1760967813.2236934	2025-10-20T15:43:33
LiH_molecule_JW_sto3g_JW_	Priori	900	0.0309538439837308	0.0017308580209507934	1760968379.2776911	2025-10-20T15:52:59
LiH_molecule_JW_sto3g_JW_	Priori	1000	0.029172892292011164	0.0015843873033403255	1760968947.868851	2025-10-20T16:02:27
LiH_molecule_JW_sto3g_JW_	Priori	2000	0.021162075115369234	0.001758833009429674	1760970326.230921	2025-10-20T16:25:26
LiH_molecule_JW_sto3g_JW_	Priori	3000	0.017617403917203452	0.001357706357843852	1760971983.5005615	2025-10-20T16:53:03
LiH_molecule_JW_sto3g_JW_	Priori	5000	0.01399253965954295	0.0008766946666393792	1760974993.0038168	2025-10-20T17:43:13
LiH_molecule_JW_sto3g_JW_	Priori	7000	0.011440307836406233	0.0008167707232214199	1760974993.0038168	2025-10-20T17:43:13
LiH_molecule_JW_sto3g_JW_	Priori	9000	0.010133301464954036	0.0007364111828550284	1760974993.0038168	2025-10-20T17:43:13
LiH_molecule_JW_sto3g_JW_	Priori	10000	0.00948327442861937	0.0006192162524859767	1761038824.6273332	2025-10-21T11:27:04
